AcademicStress,SelfEsteem,SleepQuality
4,5,10
5,5,4
3,1,3
5,5,2
5,3,18
2,-1,19
3,1,17
3,4,14
3,5,8
5,5,16
4,1,-1
3,-1,14
5,2,0
2,1,20
4,2,21
-1,2,21
4,3,2
-1,2,15
1,2,10
4,3,-1
2,2,9
7,2,15
4,2,7
-1,1,5
1,1,11
3,1,35
3,3,7
2,5,3
6,2,7
4,2,17
-1,3,4
4,2,8
4,1,3
1,5,-1
3,4,16
-1,2,8
3,1,0
5,4,-1
1,5,19
2,-1,12
4,-1,15
1,4,12
4,3,13
2,4,2
2,2,5
1,2,17
2,3,18
5,1,4
2,2,14
4,5,1
4,2,9
-1,2,17
4,1,12
5,4,4
3,-1,0
1,9,21
4,4,0
2,5,17
4,1,14
2,5,16
2,4,10
4,4,20
5,4,21
2,5,16
2,4,12
-1,5,0
2,-1,1
2,-1,8
-1,4,2
4,5,-1
1,2,20
5,4,15
5,2,5
2,3,16
5,1,30
2,3,4
-1,4,5
4,2,2
4,2,20
4,5,4
5,2,20
1,5,4
5,1,9
5,4,9
1,5,18
1,1,16
1,2,20
1,2,13
4,1,-1
7,2,13
3,-1,0
1,5,18
3,5,12
3,1,-1
1,5,3
3,5,0
5,8,16
2,3,7
2,4,1
1,2,7
9,3,6
1,5,1
4,1,21
2,5,21
1,4,2
5,-1,17
3,1,11
4,4,0
3,5,21
-1,4,11
1,2,4
3,-1,-1
5,5,15
3,4,14
1,1,-1
5,5,4
2,2,20
3,2,13
1,5,1
2,4,10
2,2,18
4,4,6
5,2,5
3,-1,1
1,3,5
4,2,-1
5,1,1
4,5,17
5,5,14
5,4,18
3,2,1
5,1,19
4,4,5
5,3,0
3,4,14
3,4,9
4,2,18
-1,3,16
2,4,4
5,1,3
1,1,-1
5,5,16
4,-1,9
4,3,16
-1,8,19
4,4,4
4,3,1
-1,1,5
2,1,20
4,2,1
1,3,12
1,4,10
1,5,10
-1,5,15
3,4,10
1,2,18
4,5,14
5,3,15
1,2,10
3,3,21
3,1,15
-1,-1,7
5,5,3
1,-1,7
3,2,3
2,2,-1
4,2,2
3,-1,17
1,1,18
-1,4,18
1,2,-1
1,-1,25
2,2,17
4,5,9
4,7,21
2,5,20
3,4,5
1,1,0
5,-1,4
1,5,8
1,1,11
3,4,37
1,2,1
2,-1,16
2,1,13
4,3,12
5,-1,8
-1,3,14
1,4,21
3,2,14
2,1,10
5,5,-1
-1,4,16
2,1,3
4,-1,0
3,1,7
3,3,16
1,1,2
5,1,-1
4,1,14
2,4,14
3,1,-1
1,5,13
1,3,13
-1,-1,1
3,1,12
5,4,13
3,4,27
4,5,6
-1,1,2
3,3,14
4,4,13
-1,1,10
2,4,14
3,4,12
3,3,17
4,2,5
4,5,2
1,5,18
1,3,14
-1,4,4
1,1,9
3,4,-1
4,3,16
1,-1,6
1,4,21
2,5,11
2,1,16
3,5,-1
4,5,19
2,2,3
-1,2,9
4,2,-1
4,5,8
1,3,12
2,5,17
1,3,14
4,3,3
5,2,14
-1,4,21
3,-1,1
1,2,14
1,2,7
3,4,7
3,1,16
3,5,11
4,5,-1
1,2,9
4,1,8
3,2,4
1,3,5
-1,2,19
4,2,-1
3,5,12
1,5,5
3,5,4
1,6,0
5,5,20
2,1,21
2,4,20
-1,1,-1
3,1,5
5,5,15
1,4,3
-1,4,10
1,4,8
4,3,2
1,5,18
5,4,7
4,-1,4
3,2,3
1,-1,5
1,3,1
4,3,19
3,5,-1
3,5,3
5,2,14
7,-1,5
3,2,21
3,4,16
2,4,5
5,5,18
1,1,1
4,1,14
1,3,10
5,5,-1
4,4,18
5,1,12
3,4,11
4,1,4
3,1,5
-1,1,21
1,5,-1
4,2,18
4,-1,19
5,5,0
5,5,19
3,5,16
4,-1,11
1,5,14
